Paper_No.,Mix_ID,Cement,Fly Ash,Silica Fume,Metakaolin,Nano Clay,Water,Fine Aggregate,Superplasticizer,VMA,Accelerator,Retarder,Fiber Type,Fiber Length (mm),Fiber Volume Fraction,Water/Binder Ratio,Open Time,Static Yield Stress,Dynamic Yield Stress,Plastic Viscosity,Rheometer,Printable,,,,,,,,
7,B20,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,20,1115,58.6,1.7,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 1 
7,C5,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,5,50,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 2
7,C10,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,10,190,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 2
7,C15,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,15,615,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
7,C20,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,20,950,65.3,2.1,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
7,D5,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,5,95,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 2
7,D10,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,10,275,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
7,D15,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,15,695,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
7,D20,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,20,1100,58.3,1.9,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
8,CM5,257,578,21,0,0,299.6,1044,NULL,NULL,0,0,NULL,0,0,0.35,5,3200,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,
8,CM15,257,578,21,0,0,299.6,1044,NULL,NULL,0,0,NULL,0,0,0.35,15,4080,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,
8,NM5,257,578,21,0,0.5,299.6,1044,NULL,NULL,0,0,NULL,0,0,0.35,5,5300,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,
8,NM15,257,578,21,0,0.5,299.6,1044,NULL,NULL,0,0,NULL,0,0,0.35,15,6600,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,
9,Mix SF0,574,164,82,0,0,262.2,1230,0.17,NULL,0,0,PP,12,0.22,0.32,0,1600,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix SF15,574,164,82,0,0,262.2,1230,0.17,NULL,0,0,PP,12,0.22,0.32,15,2100,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix SF30,574,164,82,0,0,262.2,1230,0.17,NULL,0,0,PP,12,0.22,0.32,30,2900,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix SF45,574,164,82,0,0,262.2,1230,0.17,NULL,0,0,PP,12,0.22,0.32,45,4400,NULL,NULL,Shear vane test,No,,,,,,,,
9,Mix SF60,574,164,82,0,0,262.2,1230,0.17,NULL,0,0,PP,12,0.22,0.32,60,6400,NULL,NULL,Shear vane test,No,,,,,,,,
9,Mix SF75,574,164,82,0,0,262.2,1230,0.17,NULL,0,0,PP,12,0.22,0.32,75,9500,NULL,NULL,Shear vane test,No,,,,,,,,
9,Mix NC0,663,166,0,0,0.3,265.2,1243,0.13,NULL,0,0,PP,12,0.22,0.32,0,1600,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix NC15,663,166,0,0,0.3,265.2,1243,0.13,NULL,0,0,PP,12,0.22,0.32,15,2000,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix NC30,663,166,0,0,0.3,265.2,1243,0.13,NULL,0,0,PP,12,0.22,0.32,30,2500,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix NC45,663,166,0,0,0.3,265.2,1243,0.13,NULL,0,0,PP,12,0.22,0.32,45,3500,NULL,NULL,Shear vane test,No,,,,,,,,
9,Mix NC60,663,166,0,0,0.3,265.2,1243,0.13,NULL,0,0,PP,12,0.22,0.32,60,4900,NULL,NULL,Shear vane test,No,,,,,,,,
9,Mix NC75,663,166,0,0,0.3,265.2,1243,0.13,NULL,0,0,PP,12,0.22,0.32,75,6500,NULL,NULL,Shear vane test,No,,,,,,,,
9,Mix VM0,663,166,0,0,0,265.2,1243,0.18,0.1,0,0,PP,12,0.22,0.32,0,1600,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix VM15,663,166,0,0,0,265.2,1243,0.18,0.1,0,0,PP,12,0.22,0.32,15,1900,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix VM30,663,166,0,0,0,265.2,1243,0.18,0.1,0,0,PP,12,0.22,0.32,30,2300,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix VM45,663,166,0,0,0,265.2,1243,0.18,0.1,0,0,PP,12,0.22,0.32,45,2900,NULL,NULL,Shear vane test,Yes,,,,,,,,
9,Mix VM60,663,166,0,0,0,265.2,1243,0.18,0.1,0,0,PP,12,0.22,0.32,60,3900,NULL,NULL,Shear vane test,No,,,,,,,,
9,Mix VM75,663,166,0,0,0,265.2,1243,0.18,0.1,0,0,PP,12,0.22,0.32,75,4900,NULL,NULL,Shear vane test,No,,,,,,,,
10,M4-1,579,165,83,0,0,232,1241,0.5,0,0,0,PP,12,0.16,0.28,0,2600,NULL,NULL,Shear vane test,No,,,,,,,,
10,M4-2,579,165,83,0,0,232,1241,1,0,0,0,PP,12,0.16,0.28,0,550,NULL,NULL,Shear vane test,Yes,,,,,,,,
10,M4-3,579,165,83,0,0,232,1241,1.5,0,0,0,PP,12,0.16,0.28,0,360,NULL,NULL,Shear vane test,Yes,,,,,,,,
10,M4-4,579,165,83,0,0,232,1241,2,0,0,0,PP,12,0.16,0.28,0,210,NULL,NULL,Shear vane test,No,,,,,,,,
10,M4-5,579,165,83,0,0,232,1241,1,0,0,0.5,PP,12,0.16,0.28,0,730,NULL,NULL,Shear vane test,Yes,,,,,,,,
